RestaurantID,Name,Address,Time,Price,Latitude,Longitude
996,"Sinh Nhật Yến Nhi Bakery - Bánh Sinh Nhật, Bánh Ngọt & Bánh Ăn Vặt - CT4A KĐT Xa La","CT4A KĐT Xa La, P. Phúc La, Hà Đông, Hà Nội",,,,
997,Miến Trộn Thập Cẩm & Ăn Vặt Bông Mewww,"Số Nhà 17, Ngách 144, Ngõ 250/80 Phan Trọng Tuệ, Thanh Trì, Hà Nội",,,,
998,Delicious Pizza - Fast Food & Bún Trộn,"149A Bạch Đằng, P. Chương Dương Độ, Hoàn Kiếm, Hà Nội",,,,
999,Nem Nướng Nha Trang - 2T - Trung Hòa,"Số 2, ngõ 154 Trần Duy Hưng, Cầu Giấy, Hà Nội",,,21.0100316,105.7983958
1000,"Tiệm Ăn N.01 - Đồ Ăn Hàn Quốc, Mỳ Trộn Các Loại & Mỳ Chua Cay","Số 5 ngách 30 ngõ 162b Tôn Đức Thắng, P. Hàng Bột, Đống Đa, Hà Nội",,,,
1001,Bánh Mì КЕВВР TORKI - Phúc Diễn,"195 Phúc Diễn, Nam Từ Liêm, Hà Nội",,,21.0289957,105.7566889
1002,Tiệm Tốc - Đồ Ăn Hàn Quốc Và Cơm Trộn - Sông Nhuệ,"197B Sông Nhuệ, P. Đức Thắng, Bắc Từ Liêm, Hà Nội",,,21.0751097,105.7721054
1003,"HANSIK SARANG - Gà Rán, Kimbap & Tokbokki","45 Đường Giải Phóng, P. Đồng Tâm, Hai Bà Trưng, Hà Nội",,,21.0011852,105.8414183
1004,Tiệm Gà Rán ChiPi - Hồ Tùng Mậu,"Số 30 Ngõ 199 Hồ Tùng Mậu, P. Cầu Diễn, Nam Từ Liêm, Hà Nội",,,21.0393789,105.7634773
1005,Dương - Cơm Tấm Sài Gòn,"3 Ngõ 6 Ao Sen, P. Mộ Lao, Hà Đông, Hà Nội",,,20.9821665,105.7876578
1006,Ốc Bà Điền - Bún Ốc & Lẩu Ốc - 33 Sài Đồng,"33 Sài Đồng, P. Sài Đồng, Long Biên, Hà Nội",,,21.0366245,105.9100542
1007,Đệ Nhất Cơm Rang & Mỳ Xào - Lẩu Thái Tomyum - Thái Hà,"218 B1 Ngõ 364 Thái Hà, P. Trung Liệt, Đống Đa, Hà Nội",,,,
1008,"Coy's Kitchen - Cơm Đảo Gà Nướng, Chân Gà & Ăn Vặt Online - Bà Triệu","Ngõ Hoa Niên, 56 Bà Triệu, P. Hàng Bài, Hoàn Kiếm, Hà Nội",,,,
1009,IVinaHub Cafe Workshop - 252B Âu Cơ,"252B Âu Cơ, Tây Hồ, Hà Nội",,,21.0768252,105.8209626
1010,Quán Cơm 35k - Tôn Đức Thắng,"Số 20 Ngõ Thịnh Hào 1, Tôn Đức Thắng, P. Hàng Bột, Đống Đa, Hà Nội",,,,
